City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,half moon bay,37.4636,-122.4286,16.14,93,75,8.75,US,1675547106
331,portland,45.5234,-122.6762,11.73,78,100,3.58,US,1675546235
332,sola,-13.8833,167.55,26.37,89,100,0.0,VU,1675547108
333,lang son,21.8333,106.7333,17.95,98,100,1.1,VN,1675547109
334,tandur,17.2333,77.5833,20.67,36,5,2.49,IN,1675547109
335,tiksi,71.6872,128.8694,-27.72,100,100,1.65,RU,1675547016
336,palembang,-2.9167,104.7458,25.05,94,75,2.57,ID,1675547111
337,carutapera,-1.195,-46.02,24.78,93,100,3.67,BR,1675547113
338,urumqi,43.801,87.6005,-9.47,93,75,1.0,CN,1675547114
339,mumford,5.2618,-0.759,26.29,85,49,5.03,GH,1675547115
340,victoria,22.2855,114.1577,18.3,86,100,4.02,HK,1675547043
341,ati,13.2154,18.3353,23.88,11,95,4.86,TD,1675547117
342,pocone,-16.2567,-56.6228,27.7,67,99,2.12,BR,1675547118
343,severnyy,50.677,36.5532,-3.98,92,100,2.0,RU,1675547119
344,chacabuco,-34.6417,-60.4739,28.88,27,0,2.88,AR,1675547120
345,yermakovskoye,53.2831,92.4003,-17.54,99,100,0.29,RU,1675547121
346,maniitsoq,65.4167,-52.9,-16.83,84,32,7.64,GL,1675547123
347,sawtell,-30.3833,153.1,24.01,73,1,2.06,AU,1675547125
348,vostok,46.4856,135.8833,-19.99,98,100,2.02,RU,1675547126
349,shimoda,34.6667,138.95,3.39,68,35,4.78,JP,1675547127
350,stettler,52.3168,-112.7186,1.86,69,50,3.09,CA,1675547129
351,olafsvik,64.8945,-23.7142,2.89,80,100,11.19,IS,1675547129
352,ridgecrest,35.6225,-117.6709,17.6,22,0,1.54,US,1675547130
353,maldonado,-34.6667,-54.9167,19.66,90,77,7.73,UY,1675547032
354,challapata,-18.9,-66.7667,5.95,89,100,1.65,BO,1675547130
355,samarai,-10.6167,150.6667,27.77,77,82,2.76,PG,1675547131
356,pudsey,53.7954,-1.6613,8.29,74,40,9.77,GB,1675547132
357,odesskoye,54.2111,72.9651,-22.39,100,92,2.08,RU,1675547133
358,marsala,37.7966,12.4352,11.97,87,40,5.14,IT,1675547133
359,ponta delgada,37.7333,-25.6667,14.4,82,20,4.12,PT,1675547015
360,lodwar,3.1191,35.5973,28.28,32,33,2.98,KE,1675547028
361,acari,-15.4311,-74.6158,25.5,80,100,3.37,PE,1675547134
362,atambua,-9.1061,124.8925,22.57,91,100,0.61,ID,1675547135
363,luancheng,37.8792,114.6517,-6.91,49,0,0.29,CN,1675547135
364,tarbagatay,51.4803,107.3602,-23.26,98,100,1.53,RU,1675547136
